filename,bicubic_psnr,bicubic_ssim,edsr_psnr,edsr_ssim,comparison_path
baboon.png,18.585467242518444,0.42493391663186325,29.178184509277344,0.9261654009188405,results/edsr_and_bicubic/Set14/baboon_comparison.png
barbara.png,23.120609577879968,0.6661508598042459,36.93574523925781,0.9856026708915712,results/edsr_and_bicubic/Set14/barbara_comparison.png
bridge.png,23.058165825638106,0.5720842458663996,34.727054595947266,0.9808707658720381,results/edsr_and_bicubic/Set14/bridge_comparison.png
coastguard.png,23.987454819732108,0.500423006024456,42.67509078979492,0.9950799226657422,results/edsr_and_bicubic/Set14/coastguard_comparison.png
comic.png,20.140422639735462,0.6055213441004973,35.31572723388672,0.9899529044309592,results/edsr_and_bicubic/Set14/comic_comparison.png
face.png,30.04507709221247,0.7002547773325801,36.0149040222168,0.9478370834319462,results/edsr_and_bicubic/Set14/face_comparison.png
flowers.png,24.0477123089084,0.7180990482287584,37.76081848144531,0.9748395590912775,results/edsr_and_bicubic/Set14/flowers_comparison.png
foreman.png,25.998410251938186,0.8459342037077479,40.7919921875,0.9946284734026155,results/edsr_and_bicubic/Set14/foreman_comparison.png
lenna.png,26.040453757744054,0.7559009167298903,38.01908493041992,0.9591049359570304,results/edsr_and_bicubic/Set14/lenna_comparison.png
man.png,24.412266523067622,0.6700018261232015,36.139835357666016,0.9800593604109092,results/edsr_and_bicubic/Set14/man_comparison.png
monarch.png,25.24360155551607,0.8752508556216346,41.95386505126953,0.9947746354876957,results/edsr_and_bicubic/Set14/monarch_comparison.png
pepper.png,26.894406244829483,0.7633608231678773,34.27576446533203,0.9286965011580633,results/edsr_and_bicubic/Set14/pepper_comparison.png
ppt3.png,20.689436065152744,0.8129494946438095,37.73384475708008,0.9897291897472614,results/edsr_and_bicubic/Set14/ppt3_comparison.png
zebra.png,22.974475085152566,0.6843131806322438,40.95432662963867,0.9956292363079934,results/edsr_and_bicubic/Set14/zebra_comparison.png
