Dataset,Bicubic PSNR,Bicubic SSIM,EDSR PSNR,EDSR SSIM,PSNR Gain,SSIM Gain
Set5,26.58,0.7899,40.31,0.9853,13.73,0.1954
Set14,23.95,0.6854,37.32,0.9745,13.37,0.2891
